,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
863,1996.08.11,1996,Unprovoked,usa,Wade fishing,21,1.8 m to 2.1 m [6' to 7'] hammerhead shark,"No injury, towed by shark that grabbed stringer of fish tied to his waist",Aug,N,M
864,1996.07.04.b,1996,Unprovoked,usa,Standing,63,5' to 6' shark,Laceration on left foot,Jul,N,F
865,1996.05.28,1996,Unprovoked,south africa,Surfing,17,2.5 m [8.25'] white shark ,Leg bitten,May,N,M
866,1996.05.18,1996,Unprovoked,usa,Surfing,22,1.2 m [4'] shark,Right foot & ankle bitten,May,N,M
867,1996.05.07,1996,Unprovoked,usa,Surfing,27,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,Left foot & leg bitten,May,N,M
868,1996.03.05,1996,Unprovoked,australia,Swimming breast stoke,47,Tiger shark,Left arm & leg lacerated,Mar,N,F
869,1996.02.26,1996,Unprovoked,australia,Dived naked into the water on a bet,24,Bronze whaler shark,Left leg & right testicle bitten,Feb,N,M
870,1996.02.04,1996,Unprovoked,australia,Swimming,7,"""reef shark""",Ankles injured,Feb,N,M
871,1996.01.16,1996,Unprovoked,usa,Swimming with mask & snorkel,53,Possibly a tiger shark,Lacerations to left foot & right shin,Jan,N,M
872,1996.01.10,1996,Unprovoked,reunion,Surfing,25,"Tiger shark, 300-kg [662-lb] ",FATAL,Jan,Y,M
873,1995.10.11,1995,Unprovoked,australia,Playing / standing,15,4 m shark,Laceration to thigh,Oct,N,F
874,1995.10.01,1995,Unprovoked,usa,Surfing,39,1.2 m to 1.5 m [4' to 5']   shark,Right arm injured,Oct,N,M
875,1995.09.30.b,1995,Unprovoked,usa,Surfing,14,1.5 to 1.8 m [5' to 6'] shark,4 punctures in left foot,Sep,N,M
876,1995.09.28,1995,Unprovoked,usa,Windsurfing,25,4 m [13'] white shark,"Right foot bruised, board bitten",Sep,N,M
877,1995.09.11,1995,Unprovoked,australia,Abalone diving using Hookah (near calving whales),29,White shark,"FATAL, head, shoulder and arm severed, remains recovered at Munglinup Beach on 9/13/1995",Sep,Y,M
878,1995.09.03.b,1995,Unprovoked,usa,Abalone diving using Hookah (resting on the surface),32,3 m to 4 m [10' to 13'] white shark,Lower leg bitten,Sep,N,M
879,1995.08.26/b,1995,Unprovoked,usa,Surfing,16,5' shark,Left elbow bitten,Aug,N,M
880,1995.08.26.a,1995,Unprovoked,usa,Surfing,18,"""a small shark""",4 puncture wounds on right pinky finger,Aug,N,M
881,1995.08.25,1995,Unprovoked,usa,Swimming,16,1.2 m to 1.5 m [4' to 5'] shark,Left arm bitten,Aug,N,M
882,1995.08.22.c,1995,Unprovoked,usa,Swimming ,23,"""sand"" shark",Right foot bitten,Aug,N,M
883,1995.08.22.a,1995,Unprovoked,usa,Surfing,19,"""small shark""",Bottom of left foot gashed,Aug,N,M
884,1995.08.19,1995,Unprovoked,tonga,Fishing,18,"""small shark""",Upper left thigh avulsed  ,Aug,N,M
885,1995.08.15,1995,Unprovoked,usa,Wading,20,1.8 m [6'] shark,Thigh lacerated,Aug,N,M
886,1995.08.07,1995,Unprovoked,usa,Body boarding,12,1.2 m to 1.5 m [4' to 5'] shark,Multiple bites on right leg and knee,Aug,N,M
887,1995.06.30,1995,Unprovoked,usa,Scuba diving (ascending using scooter),31,6 m [20'] white shark,"Forearm, abdomen & upper leg lacerated",Jun,N,M
888,1995.06.17.a,1995,Unprovoked,usa,Swimming,45,1.8 m [6'] shark,Right leg bitten,Jun,N,M
889,1995.06.16,1995,Unprovoked,usa,Swimming,10,6' shark,Leg bitten,Jun,N,F
890,1995.06.14,1995,Unprovoked,usa,Swimming,38,"Tiger shark, 3.7 m [12'] ",Puncture wounds & scratches to torso & left leg ,Jun,N,M
891,1995.06.02,1995,Unprovoked,hong kong,Swimming,29,1.8 m to 2.1 m [6' to 7'] shark,"FATAL, right thigh bitten, femur exposed  ",Jun,Y,M
892,1995.04.09.a,1995,Unprovoked,japan,Scuba diving for bivalves,47,6 m [20'] white shark,FATAL,Apr,Y,M
893,1995.03.11,1995,Unprovoked,australia,Surfing,35,"Bronze whaler shark, 2 m ",Left arm lacerated,Mar,N,M
894,1995.02.19,1995,Unprovoked,south africa,Swimming,22,Raggedtooth shark,Lacerations to lower leg & foot,Feb,N,M
895,1995.01.24,1995,Unprovoked,south africa,Swimming,14,"Tiger shark, 1.8 m [6'] ","FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated ",Jan,Y,M
896,1994.12.30,1994,Unprovoked,south africa,Body boarding,26,5.5 m [18'] white shark,"No injury, board bitten",Dec,N,M
897,1994.12.09.a,1994,Unprovoked,usa,Commercial diver (submerged or treading water),42,5 m to 5.5 m [16.5' to 18'] white shark,"FATAL, right leg nearly severed, puncture wounds to left leg ",Dec,Y,M
898,1994.11.13,1994,Unprovoked,usa,"Surfing, paddling seawards",34,2.7 m [9'] shark,Right thigh & board bitten,Nov,N,F
899,1994.10.08,1994,Provoked,usa,Wading,9,Thought to involve a small sand shark,Ankle bitten when she accidently stepped on the shark  PROVOKED INCIDENT,Oct,N,F
900,1994.09.21,1994,Unprovoked,usa,Surfing,43,5 m [16.5'] white shark,"No injury, surfboard bitten",Sep,N,M
901,1994.09.05,1994,Unprovoked,usa,Jumped off rocks into white water,12,Small shark,Left calf bitten,Sep,N,F
902,1994.07.09.c,1994,Unprovoked,reunion,Windsurfing,24,3 to 3.5 m [10' to 11.5'] bull shark,FATAL,Jul,Y,M
903,1994.07.09.b,1994,Unprovoked,south africa,Surfing,22,4 m [13'] white shark,"FATAL, leg severed ",Jul,Y,M
904,1994.07.09.a,1994,Unprovoked,south africa,Surfing,31,4 m [13'] white shark,Buttock & leg bitten,Jul,N,M
905,1994.07.08.a,1994,Unprovoked,usa,Surfing,15,"""small shark""",Right calf lacerated,Jul,N,M
906,1994.06.24,1994,Unprovoked,bahamas,Spearfishing,30,1.8 m [6'] shark,Forearm severely bitten,Jun,N,M
907,1994.05.31.a,1994,Unprovoked,usa,Surfing, 28,1.2 m [4'] spinner shark,Right foot lacerated,May,N,M
908,1994.05.15,1994,Unprovoked,usa,Surfing,22,>1.8 m [6'] shark,Right knee lacerated,May,N,M
909,1994.02.19,1994,Unprovoked,usa,Surfing,23,1.2 m [4'] shark,Left foot bitten,Feb,N,M
910,1994.02.12,1994,Unprovoked,south africa,Surfing,15,3 m [10'] white shark,Leg bitten ,Feb,N,M
911,1994.01.03,1994,Unprovoked,south africa,Swimming ,33,"1.3 m [4'3""] shark",Foot bitten,Jan,N,M
912,1993.11.21,1993,Unprovoked,australia,Hookah diving,27,Tiger shark caught 6 days later with divers remains in its gut,FATAL,Nov,Y,M
913,1993.10.30,1993,Unprovoked,usa,Surfing,26,4 m to 5 m [13' to 16.5'] white shark,Serious injury to left leg,Oct,N,M
914,1993.10.26,1993,Unprovoked,usa,Swimming,26,3 m [10'] bull shark,Thigh & hand lacerated,Oct,N,F
915,1993.10.10,1993,Boating,usa,Kayaking,34,>6 m [20'] white shark,"No Injury, Kayak holed",Oct,N,F
916,1993.09.26,1993,Unprovoked,south africa,Spearfishing,36,3 m [10'] white shark,Calf lacerated,Sep,N,M
917,1993.09.03,1993,Unprovoked,spain,Swimming,69,1.2 m [4'] shark,"Thigh bitten, toes of left foot severed",Sep,N,M
918,1993.08.21,1993,Unprovoked,bahamas,Spearfishing,51,1.8 m [6'] blacktip shark or Caribbean reef shark,Leg bitten,Aug,N,M
919,1993.08.15.a,1993,Unprovoked,usa,Riding floatation device,19,Bull shark,Severe lacerations to abdomen & thighs,Aug,N,F
920,1993.08.12,1993,Unprovoked,usa,Free diving for abalone (ascending),39,5.5 m to 6 m [18' to 20']  white shark,Severe bites to head & shoulder,Aug,N,M
921,1993.07.30,1993,Unprovoked,south africa,Surfing,28,4 m [13'] white shark,Puncture wounds on chest,Jul,N,M
922,1993.07.07,1993,Unprovoked,usa,Playing,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",Right knee bitten,Jul,N,F
923,1993.06.10,1993,Unprovoked,usa,Paddling on surfboard or body board,22,Thought to involve a tiger shark,Feet & ankles bitten,Jun,N,M
924,1993.06.09,1993,Unprovoked,australia,Scuba diving,31,Remains recovered from 5.5 m [18'] white shark,FATAL,Jun,Y,M
925,1993.06.05,1993,Unprovoked,australia,Scuba diving at seal colony,34,5 m [16.5'] white shark,FATAL,Jun,Y,F
926,1993.06.00,1993,Unprovoked,usa,Swimming,60's,6' shark,"No injury, bumped by shark",Jun,N,F
927,1993.03.14,1993,Unprovoked,usa,Paddling on surfboard,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",Lower legs lacerated ,Mar,N,M
928,1993.03.12,1993,Unprovoked,usa,Free diving & spearfishing (ascending),55,White shark,"No injury, swim fin bitten",Mar,N,M
929,1993.02.04,1993,Provoked,australia,Fishing,69,"Bronze whaler shark, 1.5 m ","Legs lacerated, puncture wound in hand from hooked shark hauled onboard PROVOKED INCIDENT",,N,M
930,1993.01.05,1993,Unprovoked,australia,Spearfishing,21,1.5 m shark,"6"" laceration to left forearm",Jan,N,M
931,1993.01.02,1993,Unprovoked,usa,Surfing,29,6 m [20'] white shark,"No injury, shark bit board",Jan,N,M
932,1992.12.28,1992,Unprovoked,usa,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",10,"Tiger shark, 2.4 m [8']",Right leg bruised & abraded,Dec,N,M
933,1992.12.23,1992,Unprovoked,usa,Lying on surfboard,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ","Minor lacerations to hand, 15"" crescent-shaped piece removed from surfboard",Dec,N,M
934,1992.11.29,1992,Unprovoked,usa,Spearfishing / free diving,31,"Mako shark, 1.8 m [6']  ",10 puncture wounds to right calf,Nov,N,M
935,1992.11.25.a,1992,Unprovoked,usa,Surfing,19,6' to 7' blacktip shark,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,Nov,N,M
936,1992.11.14,1992,Boating,usa,Kayaking,46,5 m to 6 m white shark,"No injury, kayak bitten",Nov,N,M
937,1992.11.11,1992,Unprovoked,usa,Scuba diving (submerged),40,Unidentified shark,Foot punctured,Nov,N,M
938,1992.11.05.a,1992,Unprovoked,usa,Body boarding,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",Right leg severely lacerated  FATAL,Nov,Y,M
939,1992.10.29,1992,Unprovoked,usa,Hookah diving for sea urchins,40,2.5 m [8.25'] white shark,Foot & swim fin punctured,Oct,N,M
940,1992.10.22,1992,Unprovoked,usa,Surfing,28,"Tiger shark, 4.3 m [14'] ","Chest & arm bruised & scratched, 15"" crescent-shaped piece removed from board",Oct,N,M
941,1992.10.01,1992,Unprovoked,australia,Surfing,28,4.2 m white shark,FATAL,Oct,Y,M
942,1992.09.13,1992,Unprovoked,usa,Surfing,20,4 m to 5 m [13' to 16.5']  white shark ,Minor bruises,Sep,N,M
943,1992.08.25,1992,Unprovoked,australia,Surfing,17,4 m white shark,"Minor cuts, sufboard bitten",Aug,N,M
944,1992.08.18,1992,Unprovoked,usa,Surfing,22,5.5 m to 6 m [18' to 20'] white shark,"No injury, board bitten",Aug,N,M
945,1992.07.21,1992,Unprovoked,usa,Standing,42,"""a small shark""",Lacerations to left foot,Jul,N,F
946,1992.06.28.a,1992,Unprovoked,reunion,Surfing,16,Bull shark or lemon shark,FATAL,Jun,Y,M
947,1992.04.09,1992,Unprovoked,south africa,Surfing,35,>2 m shark,Punctures & lacerations on lower leg,Apr,N,M
948,1992.03.28,1992,Unprovoked,usa,"Surfing, paddling seawards",36,Tiger shark,"Foot bitten, crescent of bitemarks in both sides of board",Mar,N,F
949,1992.03.08.c,1992,Unprovoked,japan,Hookah diving for pen shells ,41,"5 m [16.5'] white shark, identification by K. Nakaya","FATAL, body not recovered",Mar,Y,M
950,1992.03.08.a,1992,Unprovoked,usa,Surfing (sitting on his board),21,Said to involve a 6 m to 7 m [20' to 23'] white shark,"Left shoulder & side bitten, board broken",Mar,N,M
951,1992.02.09,1992,Invalid,australia,Surfing,19,Questionable incident,"No injury, shark allegedly took his surfboard & slashed his wetsuit. Shark involvement questionable",Feb,,M
952,1992.01.29.a,1992,Unprovoked,australia,Boogie boarding,19,"Bronze whaler shark, 2.3 m [7.5'] ",Right leg lacerated,Jan,N,M
953,1992.01.23,1992,Unprovoked,south africa,Swimming ,19,"Zambesi shark, 1.7 m [5.5'] ",Right foot lacerated,Jan,N,M
954,1992.01.08,1992,Unprovoked,south africa,Spearfishing,36,Possibly a 1.5 m [5'] blacktip shark,Left cheek lacerated,Jan,N,M
955,1991.12.04,1991,Unprovoked,usa,Hookah diving for sea urchins,25,6 m [20'] white shark,"No injury, shark became tangled in hose & towed him 100'",Dec,N,M
956,1991.11.26.b,1991,Unprovoked,usa,Snorkeling,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ","FATAL, right leg at hip, left leg and right forearm severed  ",Nov,Y,F
957,1991.10.12,1991,Unprovoked,usa,Surfing,21,1.8 m [6'] shark,Right foot & ankle lacerated,Oct,N,M
958,1991.10.05,1991,Unprovoked,usa,Surfing,32,5 m to 6 m [16.5' to 20'] white shark,"Arm, shoulder & back bitten",Oct,N,M
959,1991.09.08,1991,Unprovoked,australia,Scuba diving,19,4 m [13'] white shark,FATAL,Sep,Y,M
960,1991.08.30,1991,Provoked,australia,Finning the shark that bit him,36,"3 m [10'], 270- kg [595-lb] shark","Shark bit his arm, nearly severing it PROVOKED INCIDENT",Aug,N,M
961,1991.08.26,1991,Unprovoked,usa,Swimming,23,sand shark,Deep cuts on lower leg,Aug,N,M
962,1991.08.12,1991,Unprovoked,usa,Wading,10,3' shark,Bite to left thigh & calf,Aug,N,F
963,1991.07.30,1991,Boating,italy,Canoeing,40,4 m [13'] white shark,No Injury to occupant; canoe bitten,Jul,N,F
964,1991.07.01.b,1991,Unprovoked,reunion,Surfing,30,"Tiger shark, 3 to 4 m [10' to 13'] ",Left arm severed,Jul,N,M
965,1991.07.01.a,1991,Unprovoked,usa,Surfing,32,5 m [16.5'] white shark,"Forearm, upper thigh, knee & ankle lacerated",Jul,N,M
966,1991.06.07.b,1991,Unprovoked,usa,Swimming behind sailboat,31,2.7 m [9'] bull or lemon shark,"Left ankle, calf, thigh and abdomen bitten",Jun,N,M
967,1991.06.07.a,1991,Unprovoked,hong kong,Swimming ,65,"Tiger shark, >3 m [10']",Abdomen bitten & leg severed  FATAL,Jun,Y,F
968,1991.05.26,1991,Unprovoked,usa,Sitting on surfboard,23,2.4 m [8'] shark,Right calf bitten,May,N,M
969,1991.04.16.a,1991,Unprovoked,usa,"Surfing, collided with shark",22,1.2 m to 1.5 m [4' to 5'] shark,Right thigh,Apr,N,M
970,1991.02.24,1991,Unprovoked,usa,Surfing,38,5.5 m [18'] white shark,Calf lacerated & board bitten,Feb,N,M
971,1991.02.12,1991,Unprovoked,south africa,Spearfishing,20,5.5 m [18'] white shark,Foot & swim fin bitten,Feb,N,M
972,1990.11.01,1990,Unprovoked,usa,Surfing,24,5' shark,"Ear, shoulder, arm, wrist & ear injured",Nov,N,M
973,1990.10.30.b,1990,Unprovoked,usa,Surfing,50,1.8 m [6'] shark ,"Hand & wrist bitten, tooth fragments in wound",Oct,N,M
974,1990.10.20,1990,Unprovoked,usa,Surfing,25,4' spinner shark,Wrist bitten,Oct,N,M
975,1990.10.15,1990,Unprovoked,usa,Surfing,43,"Tiger shark, 3.7 m [12'] ","No Injury, board bitten",Oct,N,M
976,1990.10.12,1990,Unprovoked,usa,Surfing,19,1.8 m to 2.4 m [6' to 8'] shark,Superficial injuries to left foot & ankle,Oct,N,M
977,1990.09.15,1990,Unprovoked,south africa,Spearfishing,26,5 m  [16.5'] white shark,Right hand lacerated,Sep,N,M
978,1990.09.08,1990,Unprovoked,usa,"Free diving / spearfishing, from paddleboard & floating on the surface",49,White shark,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",Sep,N,M
979,1990.09.05,1990,Boating,usa,Kayaking,44,2.5 m to 3 m [8.25' to 10']  white shark,"No injury, kayak capsized",Sep,N,M
980,1990.08.28,1990,Unprovoked,usa,Surfing,22,5 m to 6 m [16.5' to 20'] white shark,4 punctures on leg & board bitten,Aug,N,M
981,1990.06.24,1990,Unprovoked,south africa,Scuba diving (but on surface),21,"4.5 m [14'9""] white shark","FATAL, thigh bitten  ",Jun,Y,F
982,1990.05.06,1990,Unprovoked,south africa,Resting on surfboard,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",Thigh severely lacerated,May,N,M
983,1990.04.14,1990,Unprovoked,south africa,Lying on surfboard & paddling,23,"2.3 m [7.5'] white shark, identified by M. Smale",Leg bitten,Apr,N,M
984,1990.04.09,1990,Unprovoked,australia,Surfing,31,"Tiger shark, 3 m ","Lacerations & abrasions, board bitten in half",Apr,N,M
985,1989.11.18,1989,Unprovoked,south africa,Free diving & spearfishing,29,White shark,FATAL,Nov,Y,M
986,1989.10.22,1989,Unprovoked,australia,Surfing,17,2.7 m [9'] white shark,"No injury, board bitten",Oct,N,M
987,1989.10.11,1989,Unprovoked,usa,Surfing,12,4' shark,Foot & leg bitten,Oct,N,M
988,1989.10.08,1989,Invalid,usa,Diving,49,Shark involvement suspected but not confirmed,FATAL,Oct,,M
989,1989.09.17,1989,Unprovoked,south africa,Free diving,29,"White shark, identified by tooth pattern",Chest lacerated,Sep,N,M
990,1989.09.13,1989,Provoked,usa,"Fishing, stepped on hooked shark's head",51,150-lb shark,Bitten by hooked shark PROVOKED INCIDENT,Sep,N,M
991,1989.09.09.b,1989,Unprovoked,usa,Hookah diving for abalone (descending),38,4 m to 5 m [13' to 16.5']  white shark,Leg bitten,Sep,N,M
992,1989.08.29,1989,Provoked,australia,Feeding fish,30,Grey nurse shark,Left leg bitten by captive shark                   PROVOKED INCIDENT,Aug,N,M
993,1989.08.22.a,1989,Unprovoked,south africa,Surfing,21,>3.4 m [11'] white shark,Multiple Injuries,Aug,N,M
994,1989.08.13,1989,Unprovoked,australia,Surfing,17,"Bronze whaler shark, 3 m [10'] ","No injury, shark took chunk out of surfboard",Aug,N,M
995,1989.07.20,1989,Unprovoked,south africa,Surfing,34,2.5 m [8.25'] white shark,Torso bitten,Jul,N,M
996,1989.06.05,1989,Unprovoked,south africa,Surfing,16,3 m [10'] white shark,"No injury, board bitten",Jun,N,M
997,1989.06.03,1989,Unprovoked,south africa,Free diving,28,2.5 m [8.25'] white shark,Forearm bitten,Jun,N,M
998,1989.03.09,1989,Unprovoked,australia,Surfing,27,2 m [6.75'] white shark,Thigh bitten FATAL,Mar,Y,M
999,1989.02.02,1989,Unprovoked,italy,"Scuba diving, but swimming on surface",47,6 m [20'] white shark,FATAL. His body not recovered,Feb,Y,M
1000,1989.01.26.b,1989,Invalid,usa,Kayaking,24,Invalid,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,Jan,,M
1001,1989.01.26.a,1989,Unprovoked,usa,Kayaking,24,5 m [16.5'] white shark,"FATAL, thigh bitten, hands lacerated  ",Jan,Y,F
1002,1989.01.03,1989,Unprovoked,australia,Surfing with dolphins,17,"Tiger shark, 4 m [13'] ","Abdomen lacerated, surfboard holed",Jan,N,M
1003,1988.10.23,1988,Unprovoked,usa,Surfing (sitting on his board),21,5.5 m to 6 m [18' to 20']  white shark,Leg bitten & femur fractured,Oct,N,M
1004,1988.10.11,1988,Unprovoked,usa,Surfing,30,1.2 m to 1.5 m [4' to 5'] shark,Left leg lacerated,Oct,N,M
1005,1988.10.10,1988,Unprovoked,usa,Surfing,23,1.2 m to 1.5 m [4' to 5'] shark,Hand lacerated,Oct,N,M
1006,1988.09.28,1988,Unprovoked,usa,Surfing,21,5' shark,Lacerations to foot,Sep,N,M
1007,1988.09.13.a,1988,Unprovoked,usa,Snorkeling,38,3 m [10'] bull shark,"FATAL, thigh & hand lacerated",Sep,Y,M
1008,1988.08.11,1988,Unprovoked,usa,Surfing,27,2.4 m to 3 m [8' to 10'] white shark,Thigh bitten,Aug,N,M
1009,1988.06.19,1988,Unprovoked,south africa,Spearfishing,36,White shark,Left arm lacerated,Jun,N,M
1010,1988.06.09,1988,Unprovoked,usa,Sittting in water with his child,37,Sand shark?,Left leg bitten,Jun,N,M
1011,1988.06.01,1988,Unprovoked,usa,Surfing,25,1.8 m to 2.4 m [6' to 8'] shark,Cuts to right foot and ankle,Jun,N,M
1012,1988.03.16,1988,Unprovoked,south africa,Surfing,17,1.5 m to 2 m [5' to 6.75'] shark,"Lower left leg bitten, hand lacerated",Mar,N,M
1013,1988.02.14,1988,Unprovoked,south africa,Surfing,20,"1 m ""grey-colored"" shark",Ankle bitten,Feb,N,M
1014,1988.02.13,1988,Unprovoked,south africa,Lying atop surfboard,15,Zambezi shark (tooth fragments recovered),"Leg bitten, surgically amputated",Feb,N,F
1015,1988.01.27,1988,Invalid,south africa,Surfing,22,Shark involvement not confirmed,Minor injury to leg,Jan,,M
1016,1988.01.06,1988,Provoked,south africa,Attempting to lasso shark's tail,33,1.5 m copper shark,Foot lacerated by hooked shark PROVOKED INCIDENT,Jan,N,M
1017,1987.12.17,1987,Unprovoked,usa,Surfing,16,1.8 m [6'] blacktip shark,Left calf bitten,Dec,N,M
1018,1987.10.26,1987,Unprovoked,usa,Surfing,20,2 m [6.75'] shark,Buttock & leg bitten,Oct,N,M
1019,1987.10.25,1987,Invalid,south africa,Boogie boarding,14,Questionable incident,Abrasion to forearm,Oct,,M
1020,1987.10.11,1987,Unprovoked,south africa,Spearfishing,21,White shark,Left thigh & calf lacerated,Oct,N,M
1021,1987.09.13,1987,Unprovoked,south africa,Surfing,24,3.5 m [11.5']  white shark,Torso lacerated,Sep,N,M
1022,1987.08.20,1987,Unprovoked,usa,Wading,12,1.2 m to 1.5 m [4' to 5'] shark,Lower left leg lacerated,Aug,N,M
1023,1987.08.15,1987,Unprovoked,usa,Surfing (sitting on his board),40,5.7 m white shark,Fingers & surfboard injured,Aug,N,M
1024,1987.07.21,1987,Unprovoked,usa,Surfing,27,3' to 4' shark,Right foot & ankle lacerated,Jul,N,M
1025,1987.07.12.b,1987,Unprovoked,usa,Body surfing,32,4' shark,Left foot bitten,Jul,N,F
1026,1987.07.12.a,1987,Unprovoked,usa,Wading,16,4' shark,Puncture wounds to right foot,Jul,N,F
1027,1987.04.01,1987,Unprovoked,vanuatu,Swimming,8,4.3 m shark,FATAL,Apr,Y,M
1028,1987.01.28,1987,Unprovoked,south africa,Spearfishing,30,>2.5 m [8.25'] white shark,Puncture wounds to right hand,Jan,N,M
1029,1986.12.22,1986,Unprovoked,south africa,Body boarding,21,3 m [10'] white shark,"FATAL, legs bitten ",Dec,Y,M
1030,1986.12.11,1986,Unprovoked,usa,Surfing,40,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,Forearm bitten,Dec,N,M
1031,1986.12.06.a,1986,Unprovoked,usa,Free diving  & spearfishing (submerged),27,5 m to 6 m [16.5' to 20'] white shark,"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",Dec,N,M
1032,1986.10.03,1986,Unprovoked,usa,Swimming,6,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",Hip & thigh bitten,Oct,N,F
1033,1986.10.05,1986,Unprovoked,south africa,Racing ski,32,1.6 m shark,"No injury, ski bitten",Oct,N,M
1034,1986.08.10,1986,Invalid,south africa,Spearfishing,35,Invalid,"No injury, shark made threat display & impaled itself on spear ",Aug,,M
1035,1986.07.00.a,1986,Unprovoked,south africa,Spearfishing,26,1.2 m [4'] dusky shark,Minor lacerations on left hand,Jul,N,M
1036,1986.03.15,1986,Unprovoked,south africa,Treading water,26,>1 m shark,Foot bitten,Mar,N,M
1037,1986.02.18,1986,Unprovoked,south africa,Surfing,21,>2.4 m [8'] white shark,"No injury, board bitten",Feb,N,M
1038,1986.02.07,1986,Unprovoked,south africa,Swimming,46,Raggedtooth shark,Lower leg lacerated,Feb,N,M
1039,1986.02.06,1986,Unprovoked,south africa,Spearfishing,29,"Raggedtooth shark, 2 m [6.75'] ",2 punctures in upper arm,Feb,N,M
1040,1986.02.01,1986,Unprovoked,australia,Surfing,29,"Bronze whaler shark, 3.5 m ","No injury, knocked into water & board bitten",Feb,N,M
1041,1986.01.12,1986,Unprovoked,usa,Surfing,22,Blacktip shark,Puncture wounds to both feet,Jan,N,M
1042,1986.00.00,1986,Unprovoked,usa,Surfing,16,1.5 m [5'] shark,"No injury, foot bumped",,N,M
1043,1985.10.24,1985,Unprovoked,south africa,Body boarding,22,2.5 m [8.25'] white shark,"Left leg severely lacerated, superficial lacerations of right leg,  board damaged",Oct,N,M
1044,1985.10.22,1985,Unprovoked,usa,Hookah diving for abalone,46,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,Minor injury to foot & ankle,Oct,N,M
1045,1985.09.05,1985,Invalid,usa,Swimming,17,Invalid,Found to be a hoax,Sep,,M
1046,1985.08.20,1985,Invalid,usa,Wading,11,Shark involvement not confirmed,"3"" wound on thigh",Aug,,M
1047,1985.08.17,1985,Invalid,usa,Scuba diving,67,Shark involvement prior to death not confirmed,Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,Aug,,M
1048,1985.07.25.b,1985,Unprovoked,usa,Wading,13,Possibly a small hammerhead shark,Right calf bitten,Jul,N,F
1049,1985.07.00,1985,Unprovoked,italy,Snorkeling,13,"3 m to 3.6 m  [10' to 11'9""] white shark",Contusion of left foot,Jul,N,M
1050,1985.03.03,1985,Unprovoked,australia,Free diving for scallops,33,6 m [20'] white shark,FATAL,Mar,Y,F
1051,1985.02.18,1985,Unprovoked,usa,Scuba Diving for lobster (at surface),29,6 m [20'] white shark,Bruised,Feb,N,M
1052,1985.01.27,1985,Unprovoked,south africa,Swimming,15,Raggedtooth shark,"Right knee, calf and ankle lacerated",Jan,N,M
1053,1985.01.17,1985,Unprovoked,south africa,Surfing,18,"3.5 m white shark, tooth fragments recovered",Thigh & calf bitten,Jan,N,M
1054,1985.01.04,1985,Unprovoked,south africa,Spearfishing,34,3.5 m [11.5'] white shark,Minor injury to torso,Jan,N,M
1055,1985.01.00.a,1985,Provoked,south africa,Spearfishing,20,1.5 m [5'] dusky shark,Upper right arm bitten after he shot the shark PROVOKED INCIDENT,Jan,N,M
1056,1984.11.30,1984,Unprovoked,australia,Sailing on catamaran & fell into the water,16,"Tiger shark, 4 m ",FATAL,Nov,Y,M
1057,1984.10.21.b,1984,Invalid,usa,Swimming,22,Shark involvement prior to death was not confirmed,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",Oct,,M
1058,1984.10.21,1984,Unprovoked,usa,Surfing or body surfing,23,1.5 m [5'] shark,"9"" laceration to right forearm ",Oct,N,F
1059,1984.10.17,1984,Invalid,usa,Wading,77,Shark involvement not confirmed; officials considered barracua,"10"" laceration on leg",Oct,,F
1060,1984.10.14.a,1984,Unprovoked,usa,Surfing,15,1.2 m [4'] blacktip shark,Left calf bitten,Oct,N,M
1061,1984.09.30.b,1984,Unprovoked,usa,Surfing (sitting on his board),25,3 m to 5 m [10' to 16.5'] white shark,"Abrasion on right foot, board bitten",Sep,N,M
1062,1984.09.22.a,1984,Unprovoked,usa,Surfing,16,Hammerhead shark?+O2356,Foot bitten,Sep,N,M
1063,1984.09.15,1984,Unprovoked,usa,Skindiving,28,4.5 m to 5 m white shark,FATAL,Sep,Y,M
1064,1984.07.24.a,1984,Unprovoked,usa,Swimming,18,1.2 m [4'] shark,Legs severely lacerated,Jul,N,F
1065,1984.07.22,1984,Invalid,south africa,Spearfishing,21,Shark involvement prior to death was not confirmed,"FATAL, but shark involvement prior to death could not be determined",Jul,,M
