,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
1341,1960.04.12,1960,Unprovoked,australia,Surfing,17,"White shark, 3.7 m [12'] ",Right arm & side bruised,Apr,N,M
1342,1960.03.31,1960,Unprovoked,usa,Treading water,42,"1.2 m [4'], possibly  larger shark","Ankle bitten, hand injured while striking shark",Mar,N,M
1343,1960.02.29,1960,Unprovoked,australia,"Wading, fishing for flounder",30 & 32,Two 2.1 m [7'] sharks,"No injury, Robertson knocked over & Hasler brushed by a shark",Feb,N,M
1344,1960.02.27.a,1960,Invalid,usa,Spearfishing,36,"According to Benjamin, the injury was inflicted by a barracuda, not a shark",Left forearm lacerated,Feb,,M
1345,1960.01.16,1960,Unprovoked,australia,Free diving,13,Bull shark,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Jan,Y,M
1346,1959.11.29,1959,Unprovoked,australia,Body surfing,19,3.5 m [11.5'] shark,"Thighs bitten, right hand lacerated",Nov,N,M
1347,1959.11.28,1959,Unprovoked,australia,Standing in chest-deep water,17,"""a small shark""",Right foot lacerated,Nov,N,M
1348,1959.11.22,1959,Unprovoked,australia,Trailing the field in a surf race,19,3 m to 4.3 m [10' to 14'] shark,"Lower left leg bittten, hand abraded",Nov,N,M
1349,1959.11.10,1959,Unprovoked,usa,Swimming at surface through school of feeding 2.5' to 5 sharks,21,"Blue shark, 1.5 m [5'] ",Forearm bitten,Nov,N,M
1350,1959.10.04,1959,Unprovoked,usa,Diving for abalone,30,"White shark, 5 m [16.5'], identified by Dr. W. I. Follett on tooth marks","Ankle twisted, swim fin bitten",Oct,N,M
1351,1959.10.00,1959,Unprovoked,fiji,Spearfishing,36,"Tiger shark, 1.8 m [6']",forearm abraded,Oct,N,M
1352,1959.09.26.b,1959,Sea Disaster,usa,"Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",30,"A hammerhead shark, then 8 to 10 other sharks were said to be  involved","During the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",Sep,N,M
1353,1959.08.20,1959,Invalid,philippines,The 240-ton motor vessel Pilar II with 100 people on board capsized in high winds & rough seas,10,Shark involvement prior to death was not confirmed,"Navy personnel reported that his body was ""mutilated by sharks"" but it is probable that death resulted from drowning",Aug,,M
1354,1959.08.11,1959,Unprovoked,japan,Swimming,13 or 18,"Blue shark, 3 m [10']","FATAL, left thigh bitten",Aug,Y,M
1355,1959.07.28,1959,Unprovoked,usa,Spearfishing (but on surface),25,"Hammerhead shark, 1.8 m [6'] S. zygena identified by C. Limbaugh on description","14 punctures on right thigh, swim trunks torn",Jul,N,M
1356,1959.06.14.a,1959,Unprovoked,usa,Free diving for abalone,33,"Reported to involve a White shark, 6 m to 7m [20' to 23'] ","FATAL, body not recovered",Jun,Y,M
1357,1959.05.07,1959,Unprovoked,usa,Treading water,18,"White shark, 3 m [10']; identifed by Dr. W.I. Follett on tooth marks","FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",May,Y,M
1358,1959.05.03,1959,Unprovoked,usa,Spearfishing,19,"Tiger shark, 3.7 m [12']",Lacerated hip & hands,May,N,M
1359,1959.02.01,1959,Unprovoked,south africa,Treading water,14,1.8 to 2.1 m [6' to 7'] shark,Leg severed below knee,Feb,N,M
1360,1959.01.31,1959,Unprovoked,australia,Working prawn net,20,"Grey nurse shark, 1.8 m [6']",Sharks tail grazed his shin,Jan,N,M
1361,1959.01.17.b,1959,Unprovoked,australia,In deep water about 100 yards from his ship,22,Said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] ,FATAL,Jan,Y,M
1362,1959.01.17.a,1959,Unprovoked,australia,"Surfing, but treading water",17,1.8 m [6'] shark,Right foot & toe bitten,Jan,N,M
1363,1959.01.15,1959,Unprovoked,south africa,Swimming,18,"White shark, 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness",Thigh & both wrists lacerated,Jan,N,M
1364,1958.12.13,1958,Unprovoked,usa,Surfing on air mattress,15,"Tiger shark, 4.6 m to 7.6 m [15' to 25'] ","FATAL, leg severed  ",Dec,Y,M
1365,1958.12.12,1958,Unprovoked,american samoa,Cleaning hull of ship ,22,Tiger shark,"FATAL, left thigh & hip bitten  ",Dec,Y,M
1366,1958.11.23,1958,Unprovoked,australia,Swimming,21,12' shark,FATAL,Nov,Y,M
1367,1958.09.06,1958,Unprovoked,bahamas,Fishing,42,200-lb shark,Right forearm lacerated,Sep,N,M
1368,1958.07.27.b,1958,Unprovoked,usa,"Swimming, ducking for shells in water 0.9 m deep",12,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",3 lacerations on leg,Jul,N,M
1369,1958.07.27.a,1958,Unprovoked,usa,"Swimming, ducking for shells in water 0.9 m deep",8,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ","Left hand and  leg bitten, leg surgically amputated below hip",Jul,N,M
1370,1958.07.04.a,1958,Sea Disaster,pacific ocean,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,31,Sharks averaged 1.8 m [6'] in length,Left shoulder bitten ,Jul,N,M
1371,1958.07.02,1958,Provoked,usa,Free diving,20,"Nurse shark, 1.5 m [5']  identified by Dr. E. Clark on description of shark","He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",Jul,N,M
1372,1958.07.00.b,1958,Unprovoked,bahamas,"Spearfishing, had fish on his spear",36,"Tiger shark, <2 m TL","No injury, shark went for diver's leg & missed, diver hit shark on head with speargun & shark bit speargun ",Jul,N,M
1373,1958.06.26,1958,Provoked,usa,Wading,59,"Nurse shark, 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions",Right foot bitten when he walked into shark's head PROVOKED INCIDENT,Jun,N,M
1374,1958.06.24,1958,Unprovoked,usa,Walking,17,Tiger shark?,Lower left leg & foot bitten,Jun,N,M
1375,1958.04.19,1958,Unprovoked,taiwan,Diving,29,"Mako shark, 100-kg [221-lb] ",Right cheek bitten,Apr,N,M
1376,1958.04.05,1958,Unprovoked,south africa,Paddling in knee-deep water,28,3 m [10'] shark,FATAL,Apr,Y,F
1377,1958.04.03,1958,Unprovoked,south africa,Swimming with goggles,29,3 m [10'] shark,"FATAL, arm severed above elbow, abdomen & leg bitten  ",Apr,Y,M
1378,1958.01.19,1958,Unprovoked,australia,Body surfing,14,6' shark,"Laceration to left ankle, heel and little toe",Jan,N,M
1379,1957.12.30,1957,Unprovoked,south africa,Standing,14,1.8 m [6'] shark,"Left arm severed, torso bitten, thigh lacerated, many abrasions",Dec,N,F
1380,1957.12.23,1957,Unprovoked,south africa,Floating,23,>3 m [10'] shark,"FATAL, right arm broken & stripped of flesh, left hand severed above wrist, lower abdomen, buttocks & thigh bitten  ",Dec,Y,M
1381,1957.07.15,1957,Unprovoked,usa,Swimming,57,White shark,"FATAL, knee bitten  ",Jul,Y,M
1382,1957.05.11,1957,Unprovoked,australia,Competing in spearfishing championship & towing dead fish,28,4.6 m [15'] shark,Thigh bitten & few lacerations on abdomen & buttock,May,N,M
1383,1957.04.28,1957,Unprovoked,usa,Swimming,25,White shark,"FATAL, seen with arm in mouth of shark. Body not recovered.  ",Apr,Y,M
1384,1957.04.22,1957,Provoked,usa,Standing,17,4 m [13'] shark,Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,Apr,N,M
1385,1957.04.13,1957,Unprovoked,australia,Swimming between  anchored  pearling luggers,22,Shark seen feeding on turtle scraps thrown overboard prior to incident.,"Left arm bitten, surgically amputated",Apr,N,M
1386,1956.12.26,1956,Unprovoked,papua new guinea,Spearfishing,19,2.4 m [8'] tiger shark caught 40 hours later with shorts of the boy in its gut,"FATAL, left leg severed at hip, left torso removed ",Dec,Y,M
1387,1956.10.07,1956,Unprovoked,senegal,"Skindiving, fish at belt",19,Lemon shark,Right thigh bitten,Oct,N,M
1388,1956.08.15.a,1956,Unprovoked,usa,Swimming near pier,10,"White shark, 2.7 m [9'] ","Lacerated thigh, hand & shoulder",Aug,N,M
1389,1956.03.04,1956,Unprovoked,australia,"Swimming, attacked at  surf carnival",26,3.7 m [12'] shark & may have been another shark nearby,FATAL,Mar,Y,M
1390,1956.02.26,1956,Unprovoked,australia,Diving into water,15,1.8 m [6'] shark,"FATAL, large amount of tissue removed from leg, artery severed  ",Feb,Y,M
1391,1955.11.16,1955,Unprovoked,papua new guinea,Swimming,8,Wobbegong shark,Right thigh bitten,Nov,N,M
1392,1955.08.08,1955,Unprovoked,american samoa,Swimming,28,Blue shark,"FATAL, abdomen bitten  ",Aug,Y,M
1393,1955.02.06,1955,Unprovoked,usa,Spearfishing,19,"White shark, 5 m to 6 m [16.5' to 20] ","Swimfin & 2 wool socks removed by shark, suit torn",Feb,N,M
1394,1955.02.05,1955,Unprovoked,australia,Swimming,25,3.6 m  white shark  (or bronze whaler),"FATAL, legs bitten ",Feb,Y,M
1395,1955.01.17,1955,Unprovoked,australia,Hunting lobsters in 2.4 m of water,13,"Bronze whaler shark,3.7 m [12'] ","FATAL, anterior left leg & right calf bitten, no tissue lost  ",Jan,Y,M
1396,1954.06.27,1954,Unprovoked,australia,Pearl diving from lugger Whyalla,30,2.4 m [8']  shark,"Shark bit right arm & shoulder, then Aken says, he ""knocked out"" the shark",Jun,N,M
1397,1954.01.22.a,1954,Unprovoked,argentina,Floating,18,White shark tooth fragment recovered from ankle & identified by Dr. W. I. Follett,"Arm & left calf bitten, right leg lacerated",Jan,N,M
1398,1954.01.15,1954,Unprovoked,papua new guinea,Crouching in the water,26,14' shark,Back & thighs lacerated,Jan,N,M
