,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
390,2009.03.20,2009,Unprovoked,australia,Surfing,"Laceration to right foot, puncture wounds to calf",Mar,N,M,Unspecified,17
391,2009.03.18.a,2009,Unprovoked,usa,Surfing,Minor bite to ankle,Mar,N,F,Unspecified,17
392,2009.03.17,2009,Unprovoked,usa,Swimming,"Minor injury, bite chest and left calf",Mar,N,M,Unspecified,61
393,2009.03.02,2009,Provoked,south africa,Fishing,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,Mar,N,M,Unspecified,40
394,2009.03.01.a,2009,Unprovoked,australia,Surfing,Lacerations to leg,Mar,N,M,Unspecified,15
395,2009.02.12,2009,Unprovoked,australia,Surfing,Severe injury to hand ,Feb,N,M,White,33
396,2009.02.11,2009,Unprovoked,australia,"Diving, but on the surface when bitten by the shark",Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,Feb,N,M,Bull,31
397,2009.02.07.b,2009,Unprovoked,australia,Surfing,"No injury, surfboard dented",Feb,N,M,White,41
398,2009.01.25,2009,Unprovoked,cuba,Spearfishing,Severe lacerations to lower left leg,Jan,N,M,Bull,15
399,2009.01.24.a,2009,Unprovoked,south africa,Swimming,FATAL,Jan,Y,M,Tiger,25
400,2009.01.12,2009,Unprovoked,australia,Snorkeling,Puncture wounds to right calf,Jan,N,M,Unspecified,24
401,2009.01.11.b,2009,Unprovoked,australia,Surfing,Severe lacerations to right leg,Jan,N,F,White,13
402,2009.01.11.a,2009,Unprovoked,australia,Surfing,Left thigh severely bitten,Jan,N,M,White,31
403,2009.01.06,2009,Unprovoked,new zealand,Swimming,Posterior thigh bitten,Jan,N,M,Unspecified,49
404,2008.12.27.b,2008,Boating,australia,Kayaking,"No injury, shark struck kayak, catapulting him into the water",Dec,N,M,White,29
405,2008.12.27.a,2008,Unprovoked,australia,Snorkeling,FATAL,Dec,Y,M,White,51
406,2008.12.10,2008,Provoked,south africa,Fishing,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",Dec,N,M,Unspecified,15
407,2008.10.22,2008,Provoked,australia,Scuba diving,Small laceration to head from captive shark,Oct,N,M,Grey,34
408,2008.10.06,2008,Unprovoked,croatia,Spearfishing,Calf bitten,Oct,N,M,White,43
409,2008.09.28.a,2008,Unprovoked,usa,Surfing,Right foot bitten,Sep,N,M,Unspecified,40
410,2008.09.15,2008,Provoked,australia,Swimming,Right hand lacerated by netted shark PROVOKED INCIDENT,Sep,N,M,Unspecified,43
411,2008.09.09,2008,Unprovoked,usa,Surfing,Bitten on right thigh & calf,Sep,N,M,Tiger,40
412,2008.09.07,2008,Unprovoked,australia,Surfing,Shark became tangled in his surfboard leash. The surfer was not injured,Sep,N,M,Unspecified,51
413,2008.09.01,2008,Unprovoked,usa,Surfing,Shark bumped right ankle,Sep,N,M,Unspecified,52
414,2008.08.30.b,2008,Invalid,usa,Swimming,Death was probably due to drowning,Aug,,M,Unspecified,27
415,2008.08.27,2008,Unprovoked,usa,Surfing,Lacerations to lower left leg,Aug,N,M,Unspecified,26
416,2008.08.22,2008,Invalid,usa,Surfing,Calf bitten,Aug,,F,Unspecified,20
417,2008.08.16,2008,Unprovoked,usa,Treading water,Severe lacerations to left foot,Aug,N,F,Bull,38
418,2008.07.30.R,2008,Unprovoked,australia,Surfing,"No injury, surfboard leash severed",Jul,N,M,White,31
419,2008.07.24.a,2008,Unprovoked,usa,Wading,Lacerations to dorsum of right foot ,Jul,N,F,Unspecified,8
420,2008.07.19,2008,Unprovoked,usa,Wading,Lacerations to lower left leg,Jul,N,M,Unspecified,16
421,2008.06.28.c,2008,Invalid,usa,Wading,Probable drowning with post-mortem bites,Jun,,M,Unspecified,53
422,2008.06.28.a,2008,Unprovoked,south africa,Surf skiing ,"No injury, ski bitten",Jun,N,M,White,46
423,2008.06.26.a,2008,Unprovoked,usa,Swimming,Lacerations to hand,Jun,N,M,Unspecified,37
424,2008.06.21,2008,Boating,usa,Kayaking," No injury. Shark bumped kayak, flinging her into the  water. ",Jun,N,F,White,40
425,2008.06.01.b,2008,Unprovoked,usa,Body surfing,Foot bitten,Jun,N,F,Unspecified,15
